German,English,Context,Date
einwanderungsbehörde,Immigration Department,In den USA hat es erneut einen tödlichen Einsatz der Einwanderungsbehörde ICE gegeben. Im Bundesstaat Maine wurde ein 26-jähriger Kolumbianer erschossen. Offenbar handelte es sich um eine Verwechslung.,2026-07-15
offensichtlich,apparent,Protest offensichtlich unerwünscht: Vor Beginn des NATO-Gipfels sind in Ankara erneut Hunderte Menschen festgenommen worden. Die Kritik am Vorgehen der türkischen Regierung wächst.,2026-07-15
gefängnisräume,prison rooms,Die Polizei hat Gefängnisräume und mehrere Wohnungen in Nordrhein-Westfalen durchsucht. Gegen Bezahlung sollen acht Beamte Häftlinge mit Handys und Drogen versorgt haben. Der zuständige Minister zieht Konsequenzen.,2026-07-15
norddeutschen,north German,Großeinsatz der Polizei in Kiel: In der norddeutschen Stadt wurde ein Pflasterstein auf einen Streifenwagen geworfen. Es gab eine Verletzte. Nun suchen Ermittler mit Gentests nach dem Täter.,2026-07-15
pflasterstein,Flagstone,Großeinsatz der Polizei in Kiel: In der norddeutschen Stadt wurde ein Pflasterstein auf einen Streifenwagen geworfen. Es gab eine Verletzte. Nun suchen Ermittler mit Gentests nach dem Täter.,2026-07-15
streifenwagen,Police car,Großeinsatz der Polizei in Kiel: In der norddeutschen Stadt wurde ein Pflasterstein auf einen Streifenwagen geworfen. Es gab eine Verletzte. Nun suchen Ermittler mit Gentests nach dem Täter.,2026-07-15
verwechslung,Mix-up,In den USA hat es erneut einen tödlichen Einsatz der Einwanderungsbehörde ICE gegeben. Im Bundesstaat Maine wurde ein 26-jähriger Kolumbianer erschossen. Offenbar handelte es sich um eine Verwechslung.,2026-07-15
unerwünscht,undesirable,Protest offensichtlich unerwünscht: Vor Beginn des NATO-Gipfels sind in Ankara erneut Hunderte Menschen festgenommen worden. Die Kritik am Vorgehen der türkischen Regierung wächst.,2026-07-15
handlangern,henchmen,"Ungarns neuer Regierungschef Péter Magyar nutzt seine Zweidrittelmehrheit im Parlament - und rüttelt an den Institutionen des Staates. Diese seien zu Handlangern seines Vorgängers Viktor Orbán geworden, sagt er.",2026-07-15
kolumbianer,colombian,In den USA hat es erneut einen tödlichen Einsatz der Einwanderungsbehörde ICE gegeben. Im Bundesstaat Maine wurde ein 26-jähriger Kolumbianer erschossen. Offenbar handelte es sich um eine Verwechslung.,2026-07-15
großeinsatz,large-scale deployment,Großeinsatz der Polizei in Kiel: In der norddeutschen Stadt wurde ein Pflasterstein auf einen Streifenwagen geworfen. Es gab eine Verletzte. Nun suchen Ermittler mit Gentests nach dem Täter.,2026-07-15
durchsucht,I searched,Die Polizei hat Gefängnisräume und mehrere Wohnungen in Nordrhein-Westfalen durchsucht. Gegen Bezahlung sollen acht Beamte Häftlinge mit Handys und Drogen versorgt haben. Der zuständige Minister zieht Konsequenzen.,2026-07-15
zuständige,responsible,Die Polizei hat Gefängnisräume und mehrere Wohnungen in Nordrhein-Westfalen durchsucht. Gegen Bezahlung sollen acht Beamte Häftlinge mit Handys und Drogen versorgt haben. Der zuständige Minister zieht Konsequenzen.,2026-07-15
vorgängers,predecessor,"Ungarns neuer Regierungschef Péter Magyar nutzt seine Zweidrittelmehrheit im Parlament - und rüttelt an den Institutionen des Staates. Diese seien zu Handlangern seines Vorgängers Viktor Orbán geworden, sagt er.",2026-07-15
nordrhein,North Rhine,Die Polizei hat Gefängnisräume und mehrere Wohnungen in Nordrhein-Westfalen durchsucht. Gegen Bezahlung sollen acht Beamte Häftlinge mit Handys und Drogen versorgt haben. Der zuständige Minister zieht Konsequenzen.,2026-07-15
westfalen,Westphalia,Die Polizei hat Gefängnisräume und mehrere Wohnungen in Nordrhein-Westfalen durchsucht. Gegen Bezahlung sollen acht Beamte Häftlinge mit Handys und Drogen versorgt haben. Der zuständige Minister zieht Konsequenzen.,2026-07-15
bezahlung,tickets-payment,Die Polizei hat Gefängnisräume und mehrere Wohnungen in Nordrhein-Westfalen durchsucht. Gegen Bezahlung sollen acht Beamte Häftlinge mit Handys und Drogen versorgt haben. Der zuständige Minister zieht Konsequenzen.,2026-07-15
putsches,putsches,"Vor zehn Jahren versuchten Teile der türkischen Armee, die Erdogan-Regierung zu stürzen. Die Folgen des gescheiterten Putsches prägen die Türkei bis heute. Ein Rückblick.",2026-07-15
hunderte,Hundreds,Protest offensichtlich unerwünscht: Vor Beginn des NATO-Gipfels sind in Ankara erneut Hunderte Menschen festgenommen worden. Die Kritik am Vorgehen der türkischen Regierung wächst.,2026-07-15
